Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Correspondence Address,ISSN,ISBN,CODEN,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Matthews P., Baillie C.","55424498800;16410355900;","A global dimension for engineering education",2010,"Engineering Education 2010: Inspiring the Next Generation of Engineers, EE 2010",,,,"","",3,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889725824&partnerID=40&md5=9d46665839c6e1e8f4137a06fdb169bc","Engineers Against Poverty, United Kingdom","Matthews, P., Engineers Against Poverty, United Kingdom; Baillie, C., Engineers Against Poverty, United Kingdom","Engineering education must develop to keep pace with global issues such as poverty, sustainability and climate change. Forward-thinking higher education institutions (HEIs) are adapting courses to equip students with the skills, knowledge and attitudes that are necessary to maximise the positive and far-reaching impact of engineering on society and the environment. But constraints exist that must be overcome if these improvements are to be scaled-up and sustained over time. Importantly, there is often a lack of knowledge of global issues amongst teaching staff and a resistance to what is seen by some as a dilution of core engineering content. This workshop will explore what is meant by the global dimension in engineering education. It will draw on the experience of an ongoing project entitled A Global Dimension for Engineering Education that is being implemented by Engineers Against Poverty in association with the Engineering Subject Centre, Engineering Council, Institute of Education and the Engineering Professors Council. The workshop will be highly interactive and participants will: • Become familiar with what is meant by the global dimension in engineering education • Consider barriers to incorporating the global dimension into engineering education and identify strategies for overcoming them • Discuss examples of good practice in incorporating the global dimension into engineering education.",,"Core engineering; Engineering professors; Global dimension; Global issues; Good practices; Higher education institutions; Teaching staff; Climate change; Engineering; Engineers; Students; Engineering education","Baillie, C., Feinblatt, E., (2010) Needs and Feasibility: A Guide for Student Development Projects, , Morgan and Claypool; Baillie, C., Catalano, G., (2009) Engineering and Society: Working Towards Social Justice, , Morgan and Claypool; Bourn, D., Neal, I., (2008) The Global Engineer: Incorporating Global Skills Within Higher Education of Engineers, , March 2008, Engineers Against Poverty and Institute of Education; Catalano, G., (2006) Engineering, Peace, Ethics and the Earth, , Morgan and Claypool; (2005) Developing the Global Dimension in the School Curriculum, , Department for International Development DFID, 2005; (2004) The Accreditation of Higher Education Programmes, , UK Standard for Professional Engineering Competence; Franklin, U., (1990) The Real World of Technology, , Anansi","Matthews, P.; Engineers Against PovertyUnited Kingdom; email: p.matthews@engineersagainstpoverty.org",,,,"English","Eng. Educ.: Inspiring Next Gener. Eng., EE",Conference Paper,"Final","",Scopus,2-s2.0-84889725824
"Seward N., Williams G., Jones K.","55042675500;55469270100;55471805700;","Bridge to schools workshop",2010,"Engineering Education 2010: Inspiring the Next Generation of Engineers, EE 2010",,,,"","",4,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889722767&partnerID=40&md5=f6dc2df7fb3af302931fb84f0f92b38a","University of Wales, Newport, United Kingdom; Construction Skills, United Kingdom; Institution of Civil Engineers Wales, United Kingdom","Seward, N., University of Wales, Newport, United Kingdom; Williams, G., Construction Skills, United Kingdom; Jones, K., Institution of Civil Engineers Wales, United Kingdom","A workshop group activity designed to introduce school children to civil engineering. Involving the assembly of a 15-metre long cable stayed bridge over which they can walk. Conference delegates will be able to join in with the workshop activity along with a team of local schoolchildren. The activity aims to make children more aware of some of things that engineers do and hopefully opens their eyes to the world of civil engineering. The activity will allow delegates to contribute to the further development of the activity and suggest how similar activities could be used to inspire the next generation of engineering in this and cognate disciplines. © 2009 Authors.",,"Cognate disciplines; Further development; Group activities; Civil engineering; Engineering education; Engineers; Bridges",,"Seward, N.; University of Wales, Newport, United Kingdom; email: norman.seward@newport.ac.uk",,,,"English","Eng. Educ.: Inspiring Next Gener. Eng., EE",Conference Paper,"Final","",Scopus,2-s2.0-84889722767
"Hawthorne H., Epson R.","55045540800;55043189700;","Getting girls into engineering and women onto engineering degree courses",2010,"Engineering Education 2010: Inspiring the Next Generation of Engineers, EE 2010",,,,"","",3,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889715259&partnerID=40&md5=d7126b572bbfbebc730a0ad7bb1f9692","Royal Academy of Engineering, United Kingdom; UKRC for Women in SET, United Kingdom","Hawthorne, H., Royal Academy of Engineering, United Kingdom; Epson, R., UKRC for Women in SET, United Kingdom","This workshop is intended to engage engineering lecturers, colleagues from widening participation units within universities who are currently running engineering outreach activities or public engagement programmes and/or faculty management within the home institution, in a discussion around the issues of attracting girls and women into engineering. The session would also be relevant for engineering postgraduates and undergraduate students involved in engineering outreach or public engagement. During the session we will explore these issues, as well as address peoples concerns about working in this area. The London Engineering Project (LEP) team in partnership with the UKRC for Women in SET developed training approaches to help colleagues working on the project to understand the issues around gender awareness in engineering and developed training for the different audiences involved in the project. This included training for LEP fieldworkers, engineering lecturers, practising engineers (STEM ambassadors) as well as student ambassadors. During the session we will share with you some of the approaches that we developed to help explore the areas for discussion. Colleagues who attend this workshop will be encouraged share their own experiences and successes, learn from our mistakes and successes as well as explore the issues around getting girls into engineering and women onto their own engineering degree courses. © 2010 Heather Hawthorne and Rachel Epson.",,"Engineering degrees; Engineering outreach; Engineering project; Public engagement; Undergraduate students; Widening participation; Engineering education; Engineers; Personnel training; Students; Teaching; Professional aspects",,"Hawthorne, H.; Royal Academy of EngineeringUnited Kingdom; email: heather.hawthorne@raeng.org.uk",,,,"English","Eng. Educ.: Inspiring Next Gener. Eng., EE",Conference Paper,"Final","",Scopus,2-s2.0-84889715259
"Forder S., McDonald K., Drabble G., Twyman J.","6603082039;55042802600;55041758100;55046037100;","How do we encourage the next generation of engineers?",2010,"Engineering Education 2010: Inspiring the Next Generation of Engineers, EE 2010",,,,"","",11,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889700410&partnerID=40&md5=331943bfee03ab3d2f658f60b4250bf4","Sheffield Hallam University, United Kingdom; Sheffield CYPD, United Kingdom; King Edward VII School, Sheffield, United Kingdom","Forder, S., Sheffield Hallam University, United Kingdom; McDonald, K., Sheffield Hallam University, United Kingdom; Drabble, G., Sheffield CYPD, United Kingdom; Twyman, J., King Edward VII School, Sheffield, United Kingdom","The Diploma is a new national qualification designed with employers to meet the skills needs of the 21st century. The introduction of the Engineering Diploma in 2008 was anticipated with years of planning by Sheffield Childrens and Young Peoples Directorate (CYPD). The Post-16 Engineering project has been designed to encourage students to choose a future in engineering. In September 2006 the first cohort enrolled at King Edward VII School where they studied A level Mathematics, and A levels in Physics, Design and Technology and AS Chemistry at Sheffield Hallam University, where engineering enhancement activities were also arranged. By design the partnership between the school and university continued to share the first delivery of the Advanced Engineering Diploma from September 2008. The units taught and supported at the university use specialist facilities and expertise. This strategy aims to introduce students to the community of practice of engineering. The effectiveness of this strategy has been reviewed in this research. This focussed research has considered: Has this Post-16 Engineering project inspired students to study engineering? How can the Engineering Diploma inspire the next generation of engineers? What lessons are there for educators to learn from this project? Answers to these questions will be used to inform future delivery. Data have been gathered through questionnaires to students and staff. The findings are presented with a focus on the student voice. © 2010: S Forder, K McDonald, G Drabble &amp; J Twyman.",,"Childrens; Community of practice; Design and technology; Engineering project; Sheffield; Design; Engineers; Students; Surveys; Engineering education","(2010), http://www.ampwaverley.com/companies, [accessed 26 January 2010]; Buckley, C., (2006) CPU, Strategy and Research, Sheffield City Council, Internal Report; Cheese, P., (2008) Netting the Net Generation, Young Professionals, , http://www.businessweek.com/managing/content/mar2008/ca20080313_241443. htm?campaign_id=rss_null, March 13 2008 [accessed 15 January 2010]; (2010) Qualifications, , http://www.edexcel.com/quals/diploma/Pages/default.aspx, [accessed 17 April 2010]; (2010) Types of Diploma, , http://www.edexcel.com/quals/diploma/about/Pages/types.aspx, [accessed 17 April 2010]; Gee, J.P., Identity as an analytic lens for research in education (2001) Review of Research in Education, 25 (1), pp. 99-125; Matthew, B., Pritchard, J., Hard and soft - A useful way of thinking about disciplines? Reflections from engineering education on disciplinary identities (2008) The University and its Disciplines: Teaching and Learning Within and Beyond Disciplinary Boundaries, , Kreber, C. (ed.) London: Routledge; Trochim, W.M.K., (2006) Webcentre for Social Research Methods: The Research Methods Knowledge Base, , http://www.socialresearchmethods.net/kb/scalthur.php, [accessed 15 December 2009]; Wenger, E., Communities of practice and social learning systems (2000) Organization, 7 (2), pp. 225-246. , http://www.abdn.ac.uk/~lls007/Radio4/Articles/wenger2000.pdf, [accessed 10 January 2010]; Willis, P., (1977) Learning to Labour: How Working Class Kids Getting Working Class Jobs, , Columbia University Press; Younger, M., Warrington, M., Raising boys achievement (2005) Research Report No. 636, DfES, 8. , http://www.dcsf.gov.uk/research/data/uploadfiles/RR636.pdf, HMSO [accessed 14 March 2010]","Forder, S.; Sheffield Hallam UniversityUnited Kingdom; email: s.d.forder@shu.ac.uk",,,,"English","Eng. Educ.: Inspiring Next Gener. Eng., EE",Conference Paper,"Final","",Scopus,2-s2.0-84889700410
"Khan Z.R.","55252268800;","A preliminary study into casual implications of calculator-technology usage on students' attitude towards e-cheating",2010,"Technological Developments in Networking, Education and Automation",,,,"115","119",,,"10.1007/978-90-481-9151-2-20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878918013&doi=10.1007%2f978-90-481-9151-2-20&partnerID=40&md5=fe64b15e8958a1d7c37060d033dcd1b6","Faculty of Computer Science and Engineering, University of Wollongong in Dubai, PO Box 20183, Dubai, United Arab Emirates","Khan, Z.R., Faculty of Computer Science and Engineering, University of Wollongong in Dubai, PO Box 20183, Dubai, United Arab Emirates","Across the globe, educational institutions are adopting e-learning tools into their curricula to cater to the ever-growing demand for technology inside the classrooms. Where traditional blackboards have been replaced by virtual whiteboards and library books by online resources, teachers are trying hard to cope with the growing competition from technology outside the classroom that has captured their students' attention and imagination, with more technology, perhaps increasing student dependency. However, the author's previous research has shown that engaging e-learning tools to enhance student learning experience is not enough as it has negative impact on students' attitude towards e-cheating, disillusioning their awareness to cyber ethics. So, how do teachers ensure that the methods of teaching and the tools therewith truly enhance student learning and not affect their sense of ethics? As a part of an on-going research, this paper highlights the exponential usage of calculators in the classrooms and their impact on student' attitude towards e-cheating, and recommends further studies to measure the correlation of calculator dependency in the classroom to student attitude towards e-cheating and professionalism at workplaces. © Springer Science+Business Media B.V. 2010.",,"E-learning tool; Educational institutions; Methods of teachings; Online resources; Preliminary studies; Student attitudes; Student learning; Student learning experiences; Curricula; Digital libraries; E-learning; Mathematical instruments; Philosophical aspects; Students; Teaching; Engineering education","Ament, P., Hand-held calculators (2007) The Great Idea Finder, , http://www.ideafinder.com, Troy MI url; Tout, N., (2009) Vintage Calculators, , http://inventors.about.com/gi/dynamic/offsite.htm?site=http://www. vintagecalculators.com/, About.com. URL; Bramucci, R.S., (2003) How to Cheat: Techniques Used by Cheaters, , http://www.teachopolis.org/justice/cheating/cheating_how_to.htm, URL; Kantor, A., (2008) Cheating Goes High-tech with Common-place Tools, , http://www.usatoday.com/tech/columnist/andrewkantor/2004-05-21-kantor_x. htm, USAToday.com URL; Block, R., (2005) Texas Instrument Calculators Help Students Cheat, , http://www.engadget.com/2005/06/09/texas-instrument-calculators-help- students-cheat/, URL; Khan, Z.R., E-learning techniques in IT programs - Are they helping my sense of cyber ethics? (2006) The IEEE Second International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering, , Conference paper presented at December 4-14; Khan, Z., Al Qaimari, G., Samuel, S.D., Professionalism and ethics: Is education the bridge? (2007) Information Systems and Technology Education: From the University to the Workplace, Information Science Reference, , G. R. Lowry & R. L. Turner (eds) New York; Khan, Z.R., Samuel, S.D., E-cheating, technologies and online sources: A critical review of existing literature (2009) Conference Proceeding, , 9th Global Conference on Business and Economics. Cambridge University, UK; History of Calculator, , http://www.allsands.com/History/Objects/historycalculat_sih_gn.htm, Allsands.com Accessed October 24, 2009 URL; (2009) A First Calculator, , http://www.calculator.org/firstcalc.html, Calculator.org Accessed March 2009 URL; (2006) Managing Technology: Is Technology in the Classroom Good or Bad?, , http://www.bsmarte.com/issues/managingtechnology.pdf, Bsmarte.com Accessed February 2009 URL","Khan, Z.R.; Faculty of Computer Science and Engineering, PO Box 20183, Dubai, United Arab Emirates; email: zeenathkhan@uowdubai.ac.ae",,9789048191505,,"English","Technol. Dev. Networking, Educ. Autom.",Conference Paper,"Final","",Scopus,2-s2.0-84878918013
"Chan C.K.Y., Murphy M.","55086149300;57199172650;","Active-based key-skills learning in engineering curriculum to improve student engagement",2010,"Technological Developments in Education and Automation",,,,"79","84",,2,"10.1007/978-90-481-3656-8_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878213278&doi=10.1007%2f978-90-481-3656-8_16&partnerID=40&md5=5cb037fc2d8e124734f4442b92067ccd","University of Hong Kong, Centre for the Advancement of University Teaching, Hong Kong, Hong Kong; Dublin Institute of Technology, Faculty of Engineering, Ireland","Chan, C.K.Y., University of Hong Kong, Centre for the Advancement of University Teaching, Hong Kong, Hong Kong; Murphy, M., Dublin Institute of Technology, Faculty of Engineering, Ireland","Employer groups have been extensively lobbied the government to introduce key skills development strategy for higher education to produce well-rounded graduates. This is particularly true in professional disciplines such as engineering where discipline specific knowledge rapidly becomes obsolete. Key-skills is the key to success; they help one to excel in the workplace and their importance cannot be denied in this information age. However, it is difficult to teach and assess keyskills as students are not familiar with the importance and relevance of key-skills and lecturers are not familiar how to embed key-skills into the traditional core discipline teaching. In this paper, we will discuss the changes in an electrical engineering programme in Ireland - how curriculum reform has given an opportunity to embed key-skills into the programme. We will also discuss the research investigated on how to engage students to key-skills learning and several development strategies used to demonstrate key-skills in an engineering curriculum. © 2010 Springer Science+Business Media B.V.",,"Curriculum reform; Development strategies; Engineering curriculum; Learning in engineering; Professional disciplines; Skills development; Specific knowledge; Student engagement; Curricula; E-learning; Electrical engineering; Engineering education; Strategic planning; Teaching; Students","Fourth report of the expert group on future skills needs (2003) EGFSN, , Expert Group on Future Skills Needs; Fáil, F., Manifesto - Now, the next steps (2007) Manifesto; (2001) Education Council to the European Council on the Concrete Future Objectives of Education and Training Systems, , http://register.consilium.eu.int/pdf/en/01/st05/05980en1.pdf, Council of the European Union, Report, (accessed July 2006); Staddon, L., When the new meets the old; The need to re-conceive higher education (2002) Exchange Journal, HEA, p. 28; (2004) The Engineer of 2020: Visions of Engineering in the New Century, , National Academy of Engineering, The National Academies Press, Washington DC; Pellegrino, J.W., (2006) Rethinking and Redesigning Curriculum, Instruction and Assessment: What Contemporary Research and Theory Suggest, , http://www.skillscommission.org/pdf/commissioned_papers/ Rethinking%20and%20Redesigning.pdf, National Center on Education and the Economy for the New Commission on the Skills of the American Workforce, (accessed June, 2008); (2007) Engineers Ireland, , Engineers Ireland, Accreditation Criteria for Engineering Education Programmes, March; Chan, C., Changing the saying -""Engineers work better with machines than people"" by enhancing key-skills with engineering in the most relevant ways (2005) DIT Learning and Teaching Showcase; Chan, C., Coyle, E., Natural, creative, brainstorming ""scrapyard challenge"" design project (2004) Proceedings of 33 International Symposium IGIP/IEEE/ASEE, , Fribourg, Switzerland, Oct","University of Hong Kong, , Hong Kong, Hong Kong",,9789048136551,,"English","Technol. Dev. Educ. Autom.",Conference Paper,"Final","",Scopus,2-s2.0-84878213278
"Moulton B.","26633168400;","Double degrees: Concerns regarding overall standards and graduate attributes such as probabilistic reasoning",2010,"Technological Developments in Education and Automation",,,,"327","331",,2,"10.1007/978-90-481-3656-8_60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878207667&doi=10.1007%2f978-90-481-3656-8_60&partnerID=40&md5=6f32f222d764961386b9eacbf8f646f9","Faculty of Engineering and Information Technology, University of Technology, Sydney, Australia","Moulton, B., Faculty of Engineering and Information Technology, University of Technology, Sydney, Australia","Double degrees (also known as combined degrees) typically allow engineering students to complete, in just 5 years, two degrees that would ordinarily take 7 years to complete. This paper provides and discusses the results of a pilot study relating to engineering double degrees. The study participants offered opinions relating to non-engineering fields of interest, and why they enrolled in their current double degree course. The study found that double degree students appear to be interested in breadth, but not depth. This finding seems to contradict a prevailing view that double degrees offer students the potential to gain depth in a particular niche or ""overlap area"" between the two degrees. The paper also discusses double degree curricula, in particular, the subjects that are ""omitted"" from a typical double degree. It is noted that some elements that would ordinarily be strongly associated with depth and critical thinking seem to be missing from double degrees. The issue is exemplified in this paper by focusing on one aspect of critical thinking: probabilistic reasoning. © 2010 Springer Science+Business Media B.V.","Combined degree; Critical thinking; Double degree; Engineering education; Judgment and decision making probabilistic reasoning","Combined degree; Critical thinking; Double degree; Pilot studies; Probabilistic reasoning; Curricula; E-learning; Engineering education; Students","Nisbett, R.E., Krantz, D.H., Jepson, C., Kunda, Z., The use of statistical heuristics in everyday inductive reasoning (1983) Psychological Review, 90, pp. 339-363; Welsman, S.J., (2007) Double or Nothing! Clever Thinking, Double-degree Frustration, and Returns to Science, , www.science.uniserve.edu.au/pubs/procs/2007, Accessed 1.3. 2008; King, R., (2008) Addressing the Supply and Quality of Engineering Graduates for the New Century Australia, , Carrick Institute for Learning and Teaching in Higher Education; Russell, A., Dolnicar, S., Ayoub, M., Double degrees: Double the trouble or twice the return? (2008) Higher Education, 55, pp. 575-591; Kahneman, D., Tversky, A., Subjective probability: A judgment of representativeness (1972) Cognitive Psychology, 3, pp. 430-454; Fong, G.T., Krantz, D.H., Nisbett, R.E., The effects of statistical training on thinking about everyday problems (1986) Cognitive Psychology, 18, pp. 253-292; Sadler, D.R., Formative assessment and the design of instructional systems (1989) Instructional Science, 18, pp. 119-144","Moulton, B.; Faculty of Engineering and Information Technology, , Sydney, Australia; email: brucem@eng.uts.edu.au",,9789048136551,,"English","Technol. Dev. Educ. Autom.",Conference Paper,"Final","",Scopus,2-s2.0-84878207667
"Genci J.","27867620200;","Advanced knowledge assessment system - Functional and conceptual specification",2010,"Technological Developments in Education and Automation",,,,"315","319",,1,"10.1007/978-90-481-3656-8_58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878206392&doi=10.1007%2f978-90-481-3656-8_58&partnerID=40&md5=e19ba25a6cbdc35736a2ae690f2a4d87","Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Kosice, Letna 9, 042 00 Kosice, Slovakia","Genci, J., Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Kosice, Letna 9, 042 00 Kosice, Slovakia","E-learning has become an accepted technology widely used during the last decade. However, main attention was devoted to content development, its presentation and functionality within learning management systems. On the other side, there was not so high interest in the area of knowledge assessment. This contribution deals with the specification of an advanced knowledge assessment system, it includes the functional specification and the conceptual model too. © 2010 Springer Science+Business Media B.V.",,"Conceptual model; Content development; Functional specification; Knowledge assessment; Knowledge assessment systems; Learning management system; E-learning; Specifications; Engineering education","Virtual Learning Environment., , http://en.wikipedia.org/wiki/Course_management_system; Decision-making Tools for E-D-U Community, , http://www.edutools.info/; Ladislav, S., Csaba, S., Automatic the measurement of the complexity of studentś assignments (2007) Knowledge Technologies and Applications, Networking Centres of High Quality Research on Knowledge Technologies, 1, pp. 116-125. , Košice, 31 May - 1 June, 2007, Budapest, SzTAKI; Lavicky, T., Tvorba A Vyuzivanie Skolskych Testov. (Ucebny Text Pre PVPZ A PV). Metodicko- Pedagogicke Centrum Presov, , http://www.mcpo.sk/downloads/Publikacie/PrirodPred/PPCHE200501.pdf, in Slovak; IMS Global Learning Consortium, , http://www.imsglobal.org/QTI.html, Question and Test Interoperability Project Group; Course Management System Moodle, , http://www.moodle.org; http://cisco.netacad.net; Bloom, B.S., (1956) Taxonomy of Educational Objectives: The Classification of Educational Goals, pp. 201-207. , Susan Fauer Company, Inc; Niemierko, B., Taksonomia celow wychowania (1979) Kwartalnik Pedagogiczny, 24 (2), pp. 67-78. , in Polish; Urbancik, M., (2005) Management, Automation and Checking of Semestral Works, , Diploma work. DCI FEEI Technical University of Kosice, (in Slovak); Jan, G., Knowledge assessment - Practical example (2008) ICETA 2008, pp. 153-156. , Stara Lesna, 11.-13.09.2008, Kosice, elfa, s.r.o., ISBN 978-80-8086-089-9; Henrieta, T., SQL statement knowledge assesment (2008) 6th International Conference on Emerging E-Learning Technologies and Applications, Conference Proceedings, Information and Communications Technologies in Learning, pp. 181-184. , Stara Lesna, September 11 - 13, 2008, Kosice, elfa, s.r.o, ISBN 978-80-8086-089-9","Genci, J.; Department of Computers and Informatics, Letna 9, 042 00 Kosice, Slovakia; email: genci@tuke.sk",,9789048136551,,"English","Technol. Dev. Educ. Autom.",Conference Paper,"Final","",Scopus,2-s2.0-84878206392
"Li Z.","55706922300;","New advanced graduate course designed to provide students exposure to today's developing and challenging world",2010,"Technological Developments in Education and Automation",,,,"29","32",,,"10.1007/978-90-481-3656-8_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878200641&doi=10.1007%2f978-90-481-3656-8_7&partnerID=40&md5=d1ab8202bdab411ea2324334209c9369","School of Engineering, University of Bridgeport, Bridgeport, CT 06604, United States","Li, Z., School of Engineering, University of Bridgeport, Bridgeport, CT 06604, United States","The rapidly evolving engineering technology and globalization process have changed educational roles and expectations from teachers. All these lead to some curriculum and teaching reforms that focus on introducing potential programs which provide students with challenging technologies. A recent graduate course ""Production Techniques and Technologies"" has been developed at University of Bridgeport to establish entrepreneurship opportunities for fast-pace and developing world. Some advanced technologies, including Failure Modes and Effects Analysis (FMEA), Standard Operation Procedure (SOP), and Lean Manufacturing, have been introduced in helping students to gain high level of engineering experiences. It also helps students to examine political, social and economic issues that associated to engineering project delivery processes that can lead to save product process expenses, increase manufacturing efficiency, improve product quality and shorten production period. Although this course was taught at mechanical/manufacturing engineering majors, it also can be applied to most areas of US industrial and engineering practices. © 2010 Springer Science+Business Media B.V.",,"Advanced technology; Engineering practices; Engineering project; Failure modes and effects analysis; Lean manufacturing; Manufacturing efficiency; Operation procedure; Production techniques; Curricula; Design; Developing countries; E-learning; Safety factor; Students; Teaching; Technology; Engineering education","Kim, P., Miranda, T., Olaciregui, C., Pocket School: Exploring mobile technology as a sustainable literacy education option for underserved indigenous children in Latin America (2008) International Journal of Educational Development, 28 (4), pp. 435-445; Grossman, G.M., Onkol, P.E., Sands, M., Curriculum reform in Turkish teacher education: Attitudes of teacher educators towards change in an EU candidate nation (2007) International Journal of Educational Development, 27, pp. 139-150; Grossman, G., Onkel, P., Sands, M., Curriculum reform in Turkish teacher education: Attitudes of teacher educators towards change in an EU candidate nation (2007) International Journal of Educational Development, 27 (2), pp. 138-150; Kubow, P.K., Fossum, P.R., (2007) Comparative Education: Exploring Issues in International Context, , Pearson Education/Merrill Prentice Hall, Upper Saddle River, NJ; Masemann, V., Bray, M., Manzon, M., (2007) Common Interests, Uncommon Goals: Histories of the World Council of Comparative Education Societies and Its Members, Comparative Education Research Centre, , The University of Hong Kong, Hong Kong; Bray, M., Adamson, B., Mason, M., (2007) Comparative Education Research: Approaches and Methods. CERC Studies in Comparative Education, 19. , Comparative Education Research Centre, The University of Hong Kong, Hong Kong; Phillips, D., Schweisfurth, M., (2006) Comparative and International Education: An Introduction to Theory, Method and Practice, , Continuum, London; Aypay, A., Re-structuring higher education: The influence of socio-economic and political environments to institutional adaptation of Universities (2003) Eǧitim Yönetimi, 34, pp. 194-213; Okcabol, R., Teacher qualifications and the new council of higher education model (2000) II. Ulusal Öǧretmen Yetiştirme Sempozyumu, pp. 419-425. , 10-12 Mayis, Çanakkale, Turkey","Li, Z.; School of Engineering, , Bridgeport, CT 06604, United States",,9789048136551,,"English","Technol. Dev. Educ. Autom.",Conference Paper,"Final","",Scopus,2-s2.0-84878200641
"Moore D.","57201889223;","Automated marking of transfer function problems",2010,"Technological Developments in Education and Automation",,,,"139","144",,,"10.1007/978-90-481-3656-8_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878200055&doi=10.1007%2f978-90-481-3656-8_27&partnerID=40&md5=580e43f5097f78517400064eddfe5c82","Department of Electrical Engineering, University of Cape Town, Rondebosch, South Africa","Moore, D., Department of Electrical Engineering, University of Cape Town, Rondebosch, South Africa","The increasing significance of e-learning, on-demand lecturing and auto-tutoring systems in tertiary education necessitates automated evaluation systems. Current literature presents a number of applied methods for evaluation, but little specific research on the evaluation of transfer function problems found in control engineering curricula. This paper presents a number of methods for use in the assessment of such mathematical entities, with particular emphasis on its application to problems in system identification. Further, the paper raises a number of concerns that need to be addressed when designing a complete evaluation procedure for dynamic systems. © 2010 Springer Science+Business Media B.V.","Control engineering; E-learning; Educational software; Engineering education; System identification","Automated evaluation systems; Automated marking; Control engineering; Educational software; ITS applications; Mathematical entities; Number of methods; Tertiary education; E-learning; Identification (control systems); Teaching; Transfer functions; Engineering education","Wulf, W.A., How shall we satisfy the long-term educational needs of engineers? (2000) Proc. IEEE, 88, pp. 593-596; Copinga, G.J.C., Verhaegen, M.H.G., Van De Ven, M.J.J.M., Toward a web-based study support environment for teaching automatic control (2000) IEEE Contr. Syst., 20, pp. 8-19; Bencomo, S.D., Control learning: Present and future (2004) Annu. Rev. Control, 28, pp. 115-136; Braae, M., An auto-tutor for system identification in control engineering (2008) ICEL; Garcia, R.C., Heck, B.S., Enhancing classical controls education via interactive GUI design (1999) IEEE Contr. Syst., 19, pp. 77-82; Petridis, V., Kazarlis, S., Kaburlasos, V.G., ACES: An interactive software platform for self-instruction and self-evaluation in automatic control systems (2003) IEEE Trans Educ., 46 (1), pp. 102-110; Haffner, J.F., Alves Pereira, L.F., Coutinho, D.F., Computer-assisted evaluation of undergraduate courses in frequency-domain techniques for system control (2006) IEEE Trans Educ., 49 (2), pp. 224-235; Sangwin, C.J., Assessing mathematics automatically using computer algebra and the internet (2004) ProQuest Education Journals, pp. 1-14. , Teaching Mathematics and its Applications; Braae, M., Van Zyl, N.J., Anderson, A.R., Evolutionary Development from simulation teachware towards multimedia and automated education (2001) IFAC; Kheir, N.A., Åström, K.J., Auslander, D., Cheok, K.C., Franklin, G.F., Masten, M., Rabins, M., Control systems engineering education (1996) Automatica, 32 (2), pp. 147-166; Pena, R.T., Jota, F.G., Seixas-Filho, C., A new undergraduate degree in control engineering (2001) IEEE Trans Educ., 44 (1), pp. 399-405","Moore, D.; Department of Electrical Engineering, , Rondebosch, South Africa",,9789048136551,,"English","Technol. Dev. Educ. Autom.",Conference Paper,"Final","",Scopus,2-s2.0-84878200055
